,occupation
49593,-1
49742,20
50263,0
50303,26
50338,6
50363,16
50391,7
51303,
51349,13
51440,0
51460,-1
51736,7
51880,7
51962,
51975,
52012,7
52439,24
52541,7
52712,7
52871,18
52935,6
52937,1
53042,1
1247,1
28980,-1
29027,-1
48530,2
49702,1
49992,7
51493,0
52895,7
52929,
1461,0
16631,1
16754,0
19745,
30951,2
33338,24
35300,
35443,17
35488,-1
38821,6
40210,1
41055,1
47875,9
47891,
49193,
49365,21
49506,13
49514,8
50500,1
51107,15
51621,-1
4094,7
7827,1
8393,13
9246,-1
26597,23
26667,23
28297,0
28713,9
32466,15
51564,
4030,
27848,13
27920,0
28657,17
28691,
28693,13
28701,13
28733,0
53109,0
53120,22
7237,
15161,21
18209,1
20124,
20518,6
20542,10
28933,1
31112,1
31176,
31415,0
31611,0
31627,12
31670,7
31711,6
31721,7
31902,7
45238,
52796,1
52973,1
52984,24
53063,7
53122,7
15317,1
23013,23
26090,14
31511,7
31732,13
50763,0
224,6
1231,7
2708,7
3924,22
6570,20
21249,
25143,20
25578,
26460,6
27121,13
27203,
27817,0
28212,1
28402,7
28522,1
29051,0
29121,
30224,9
30302,
30345,0
31157,
31375,15
31581,7
31585,0
31784,7
31841,7
49854,7
50371,7
50657,16
50784,2
51121,0
51144,0
51343,7
51602,13
52112,22
52209,0
52708,7
52874,7
53067,
53081,
53112,20
83,7
269,
326,0
1011,0
1132,
1230,1
1249,1
1303,24
1367,12
1370,6
1561,7
1917,0
1952,
2014,9
2038,0
2074,22
2175,-1
2218,0
2233,
2301,
2604,9
2654,9
2707,1
2912,
2960,6
2993,6
3157,7
3539,0
3627,13
3804,0
3833,7
4206,13
4229,9
4647,14
4913,7
5178,1
5210,21
5655,7
6818,
6999,1
7073,0
7129,
7680,-1
7763,
8212,13
9267,0
9338,4
9355,1
9754,0
10218,1
11012,
11038,20
11124,7
11131,1
11197,7
11384,
11748,
11958,
12031,6
12305,11
12884,
14344,1
14347,13
14404,13
14569,0
14606,1
14800,7
15056,0
15182,1
15363,13
15466,15
15675,0
15696,4
15853,13
15968,0
16594,
16909,6
17035,9
17051,1
17113,13
17627,13
18181,12
18342,0
18609,12
18666,16
18776,14
18816,-1
19051,9
19369,26
19718,1
19917,2
20259,0
21022,13
21077,2
21243,2
21300,
21479,13
21602,
21704,0
21722,7
21805,13
21863,1
21881,14
22412,13
22563,16
22592,1
22816,
22894,2
22981,7
23126,7
23293,12
23691,15
23716,0
24038,7
24574,0
24584,7
25499,0
25659,13
25872,0
26020,6
26286,13
26355,9
26644,
26727,24
27043,
27150,0
27169,13
27247,1
27349,0
27916,4
28010,0
28016,4
28113,0
28286,0
28424,0
28548,
29114,
29239,0
29287,-1
30040,
30296,0
30305,0
30377,
30893,22
31096,6
31341,2
31372,0
31376,9
31425,11
31430,23
31454,0
31456,2
31494,16
31496,14
31686,7
31690,0
31725,
31779,1
31840,1
31882,0
31915,7
31941,13
32071,22
32198,13
34007,0
34948,13
35167,1
35591,0
35964,0
36057,15
37127,
42631,
42796,13
42981,13
43167,
46457,19
47062,0
47546,10
48222,22
48225,14
48243,
48458,7
48603,15
49140,26
49227,1
49766,7
51274,26
53060,7
53065,0
13857,26
15580,0
17633,
17966,7
18992,6
19173,
19180,0
19388,0
19902,0
20123,1
20145,-1
20280,22
20289,9
20379,13
20584,0
20817,
20917,14
21275,0
21384,0
21403,0
21504,0
22047,0
22119,1
22166,0
22173,1
22183,0
22187,6
22195,0
22197,0
22201,0
22203,13
22214,1
22215,0
22235,15
22246,0
22249,0
22280,1
22285,0
22286,7
22301,7
22305,0
22332,0
22353,1
22371,22
22375,6
22377,0
22379,13
22381,
22383,22
22387,
22401,
22408,0
22415,22
22428,0
22439,15
22467,0
49293,10
35320,0
49477,1
52970,7
5520,
6080,-1
6226,
6416,1
7481,12
7537,0
7585,0
7625,7
7630,0
7975,1
7985,0
8062,7
8370,-1
8409,13
8584,24
9459,0
9628,12
9663,24
9702,7
9811,15
9968,
9990,7
10009,
10013,7
10021,9
10023,
10029,12
10041,7
10042,24
10045,
10046,7
19883,13
27088,
27574,1
28203,7
28296,-1
29042,
29093,
29126,-1
29141,14
30490,0
50562,13
50852,22
52247,7
52292,7
53086,7
53142,22
26805,7
2995,6
15350,1
28764,7
29140,1
1212,0
1965,16
2002,15
2263,13
2714,1
3387,0
4204,14
4447,0
4673,1
4828,0
4991,0
5193,0
5242,0
5386,24
5521,13
8324,23
9474,
9555,-1
10961,12
10980,13
11120,13
11668,13
12071,1
12342,0
14542,26
14692,
15336,13
16206,1
16870,
17117,
17978,1
18327,0
18412,4
18463,7
18608,0
18772,11
19031,0
19429,11
19704,0
19767,26
20299,0
20467,-1
20668,
21890,0
21893,1
21911,0
23016,19
23251,0
23274,-1
23292,0
23507,
25031,0
25505,10
25649,0
25671,
25741,0
25934,7
26031,
26244,7
26291,7
26313,
26459,15
27893,12
28005,6
28072,-1
28292,
28457,7
29049,
29440,1
29492,1
29884,5
30100,0
30228,7
31158,0
31839,1
31995,0
32060,22
32422,9
34508,0
34509,0
34840,0
34871,
35098,-1
35329,
36167,15
36224,22
36331,13
37989,0
38295,1
39480,0
39485,20
40818,-1
43624,0
43657,2
44062,24
45298,0
