,occupation
38697,0
38737,24
38750,13
38798,
39118,22
40247,6
45049,0
46101,-1
46421,1
46661,0
46745,0
47139,1
47194,0
47364,24
47646,6
48094,12
48308,1
48658,16
48854,13
49430,0
49532,0
52411,4
53354,0
54199,
54337,24
29317,7
5619,
7629,23
7948,0
9091,1
9280,
9343,26
9366,0
9377,-1
9571,9
9659,1
9698,7
9747,13
9863,7
9924,13
9969,15
11658,22
13049,1
13140,7
13416,0
13509,13
13675,23
13773,0
13778,7
13876,1
13878,1
13901,6
13919,13
13946,1
13947,2
13965,6
14022,0
14028,24
15250,6
15558,22
15927,1
16506,11
16855,13
17090,1
17372,23
17552,7
17811,23
19298,1
19891,9
20065,
21877,
22100,23
25484,7
25990,-1
26041,0
26117,23
26271,9
26736,13
29137,1
29481,7
29697,7
29856,1
30039,0
30074,13
30403,22
30699,0
30920,6
30964,13
33420,8
33807,1
34152,21
34342,14
34552,7
34668,0
34982,
35348,7
35361,22
35413,24
35453,24
35460,24
35485,26
39807,0
40160,2
40501,24
40812,7
41233,0
41244,8
42002,0
46915,0
47299,
47641,
47706,13
47729,12
47730,7
47823,0
47904,26
47915,1
47970,
47987,1
47990,2
47996,13
48846,0
49089,21
49606,13
50294,7
50622,7
51370,19
53675,4
55003,0
55015,15
55202,0
55304,8
55325,13
55371,1
6694,
8766,0
9245,17
10150,
10497,6
10660,0
11039,14
11555,12
13197,6
13548,
13619,0
14558,1
15396,
15478,6
15923,-1
15960,1
18639,0
18667,
18958,7
23969,
24868,12
24877,6
25044,12
25091,2
27612,9
27939,21
28199,7
29375,6
32384,1
32713,
32750,
33337,6
34075,1
36644,7
38172,24
38950,13
39833,1
45604,24
46828,6
46952,9
48994,7
49054,0
49922,6
50022,24
50893,4
50895,7
50911,1
51021,20
53645,
54049,9
54176,18
54777,0
54979,0
45,0
5393,7
5907,0
7819,9
8495,21
8696,6
10252,0
10933,0
12251,
12622,0
13045,7
13071,1
13149,0
13317,12
14262,12
14456,0
14459,7
15714,6
16908,12
19279,0
19819,0
20338,7
20353,23
20891,9
22389,0
22658,7
23121,7
29303,26
30124,0
31120,23
31922,0
32443,0
32653,19
33434,1
33447,6
34580,13
34592,7
34697,0
34717,1
34944,7
36728,0
37345,7
38052,4
39047,0
39341,24
39577,
40103,6
46916,6
47351,0
47707,0
49081,13
49904,7
50705,13
51025,23
53447,0
54403,9
54429,2
55216,24
55997,14
183,
225,0
5412,12
6624,0
6686,4
6850,14
7068,22
7621,0
7642,26
7715,6
7765,0
7797,1
7807,1
7808,0
7817,13
7951,9
8135,0
8308,21
8428,13
8596,
8605,20
8656,1
8670,0
8699,2
8742,0
8912,0
8926,4
8966,13
9067,0
9123,23
9180,0
9273,0
9277,1
9307,0
9362,26
9468,9
9472,1
9475,0
9478,0
9501,0
9756,23
9849,0
10771,9
10792,7
10832,
11347,7
11498,6
11691,1
11811,
11966,8
12358,0
12360,1
12490,-1
12583,1
12603,1
12652,0
12741,9
12780,12
12845,8
12941,0
12959,19
12980,22
13067,1
13098,12
13133,5
13171,0
13339,9
13340,1
13461,0
13503,6
13524,0
13552,6
13742,
13837,0
14362,
14852,0
15367,22
15436,9
15612,1
15697,9
15773,6
15863,0
15876,0
16132,
16139,0
16243,1
16256,0
16347,13
16368,0
16370,6
16806,13
17110,0
17289,0
17319,15
17429,2
17434,0
17440,1
17465,-1
17768,
18152,
18600,0
18703,22
18794,0
18945,1
19083,13
19687,13
20324,0
20342,13
20402,0
20483,1
20601,0
21172,-1
21907,4
24996,0
25049,15
25226,1
25310,1
25359,13
25501,
25533,13
25565,26
25601,
25830,-1
25852,9
25992,23
26009,0
26107,
26192,24
26195,22
26236,24
26253,-1
26261,22
26266,22
26283,22
26310,
26348,0
27475,0
27481,22
28080,0
28446,0
28679,1
28894,1
28904,-1
29218,24
29253,
29499,12
29525,2
29538,13
29582,0
29609,0
29846,1
30178,0
30517,-1
30568,0
30594,0
30672,6
31707,4
32284,16
32468,7
32536,1
32591,24
33104,24
33368,0
33495,0
33499,-1
33523,0
33529,22
33614,0
33677,26
33713,1
33717,1
33914,
34228,6
34442,13
34686,0
34692,0
34750,1
34796,-1
35172,0
35269,0
37518,1
38013,6
38029,16
38242,0
38351,0
38400,0
38599,1
38836,9
38868,7
38921,0
38923,1
38983,24
39107,17
39122,9
39143,0
39458,8
39494,13
40094,6
40290,13
40761,12
40884,24
45142,0
46444,23
46529,0
46720,0
46722,
46797,0
46802,
46846,9
46899,7
46939,0
47171,-1
47297,0
47393,9
47564,0
47593,0
47614,0
47626,0
47676,0
47683,0
47694,1
47764,1
47794,6
47802,2
48470,0
53357,6
53598,0
53856,24
53926,24
54168,21
54457,6
54663,-1
54688,-1
54727,4
54928,12
54934,0
29,1
99,1
333,26
1689,0
3574,
3618,7
4584,-1
5401,13
5834,0
6402,0
6466,
6668,0
6681,15
6884,0
6992,13
7114,0
7262,13
7286,0
7413,4
7504,0
7558,13
7805,9
7993,6
8042,0
8275,
8319,
8346,23
8357,13
8389,13
8522,0
8528,0
8676,0
8715,19
8717,1
8734,22
8846,0
9094,0
9102,1
9124,0
9192,16
9194,1
9255,
9295,15
9321,
9339,24
9481,6
9852,
10517,22
10571,16
10696,0
10993,0
11249,0
11297,
11473,0
11595,1
11633,6
11692,0
11735,13
11826,0
12005,14
12078,1
12141,24
12216,
12220,
12253,
12261,1
12269,6
12319,6
12437,20
12576,0
12616,1
12676,4
12687,13
12796,2
12797,1
12865,1
13002,22
13046,
13077,22
13223,6
13396,6
13511,1
13564,6
13577,0
13637,0
13994,0
14304,1
14366,1
14368,1
14391,1
14425,13
14444,8
14493,1
14500,-1
14509,1
14532,1
14533,1
14552,0
14563,1
14567,6
14576,1
14602,1
14642,13
14722,26
15010,0
15022,14
15072,2
15193,-1
15320,12
15328,1
15460,0
15526,6
15582,0
15596,0
15669,23
15679,4
15735,-1
15743,7
15774,0
15781,
15805,7
15826,24
15836,
15915,24
15925,15
15972,1
15990,16
16006,20
16062,4
16090,0
16318,7
16340,
16380,26
16405,24
16464,0
16524,24
16561,0
16700,1
16708,0
16714,0
16739,0
16744,1
16747,6
16770,0
16787,0
16896,22
16935,1
17043,7
17078,0
17264,0
17283,0
17866,12
18063,6
18219,7
18227,7
18247,0
18524,1
18621,6
18810,0
19011,10
19044,7
19047,1
19112,26
19249,1
19311,-1
19331,7
19355,1
19623,24
20195,1
20482,2
20498,4
20684,0
20697,
20878,
20937,
20974,7
21368,26
21420,0
21434,1
21505,16
21576,7
21706,1
21712,
21725,7
21933,7
22007,0
22470,1
22581,7
22892,0
23220,1
23407,15
23602,1
23904,0
23908,26
23987,22
24516,-1
24553,0
24572,15
24581,13
24862,6
24881,7
24886,13
24913,
24914,1
24923,0
25118,-1
25350,1
25372,1
25380,
25386,13
25461,0
25545,1
25727,6
25834,0
25883,9
26086,13
26109,0
26145,13
26146,0
26160,0
26180,20
26382,15
27176,7
27705,
27793,0
27850,1
27892,23
27997,0
28131,1
28294,
28450,0
28506,7
28514,6
28537,0
28589,1
28623,24
28656,0
28660,13
28668,0
28677,-1
28678,4
28762,13
28793,0
28876,24
28917,7
28975,2
29008,1
29148,12
29340,14
29411,0
29431,0
29438,1
29450,14
29456,19
29577,20
29677,0
29706,22
29729,
29794,12
29836,2
29955,7
29971,0
30024,21
30202,
30390,0
30436,6
30844,
31406,7
31437,7
32118,1
32139,1
32186,1
32253,9
32414,10
32442,11
32554,0
32565,16
32641,0
32705,16
32711,26
32780,0
32828,1
32913,
32924,0
33005,6
33103,2
33139,0
33142,1
33155,26
33159,
33176,0
33236,0
33342,
33388,24
33415,24
33536,0
33637,14
33702,0
33749,1
33809,0
33922,14
33933,22
33938,0
33965,0
34033,2
34118,0
34122,4
34130,
34131,0
34245,0
34248,13
34261,1
34454,6
34703,6
34854,1
36010,24
36019,-1
36161,0
36300,
36654,0
37175,6
37191,6
37245,0
37280,0
37346,0
37440,0
37466,0
37509,0
37596,11
37810,1
37829,14
37991,2
38033,23
38068,1
38116,4
38186,7
38257,6
38268,2
38305,
38313,21
38360,-1
38366,0
38369,
38403,0
38445,0
38504,10
38511,20
38722,0
38848,7
38863,10
38902,1
39094,16
39216,22
39236,13
39238,1
39350,26
39613,0
39615,0
39712,14
39728,0
39758,12
39782,2
39805,6
39822,
39825,6
39839,0
39853,1
39857,6
39876,0
39893,0
39932,4
39940,-1
40008,18
40042,21
40209,15
40343,6
41776,2
42154,22
42676,1
42705,6
42806,1
42906,1
43515,0
43987,
44088,6
44328,12
45560,1
45786,13
45877,1
45922,0
45982,-1
46014,0
46015,12
46045,24
46097,24
46100,-1
46128,7
46142,0
46151,0
46195,23
46218,0
46275,6
46297,22
46358,0
46367,-1
46405,9
46445,6
46512,6
46541,1
46562,0
46587,6
46609,0
46658,21
46688,0
46765,-1
46792,0
46805,0
46821,1
46973,
46980,0
47021,6
47083,15
47087,0
47202,1
47240,1
47253,6
47294,0
47307,9
47309,0
47359,26
47366,22
47386,-1
47401,1
47427,6
47472,1
47550,0
47696,16
48117,24
48181,4
48392,2
48432,15
48715,0
48834,19
48865,7
48884,1
48950,-1
48960,12
49031,22
49042,0
49062,9
49243,
49679,
49755,-1
50085,14
50207,18
50359,24
50380,4
50406,1
50534,23
50680,7
50815,0
50982,7
51022,0
51041,0
51044,15
51061,14
51239,0
51463,6
51791,4
52154,7
53185,12
53473,6
53576,21
53628,1
53738,
54062,7
54159,6
54169,0
54172,16
54270,0
54361,9
54366,6
54477,0
54517,6
54627,0
54628,23
54656,0
54766,7
54819,7
54869,1
54890,24
54898,6
54955,
55013,10
55561,
55588,0
55649,13
55657,
55668,22
55790,23
55806,9
6575,6
7117,0
7283,16
7429,22
8464,22
8885,12
9234,6
9323,0
9530,6
11251,
12779,
12822,7
13251,22
13941,1
15032,7
15435,
16202,9
16450,0
17397,4
17522,6
17677,0
17710,1
18633,0
21005,1
24490,24
25292,7
29829,13
30605,-1
30877,1
30966,6
32501,0
33534,13
35119,0
35404,1
39590,0
40749,
46418,14
47113,0
47231,0
47295,-1
47310,12
47413,7
47720,7
47779,1
47813,0
47928,21
47980,9
48849,0
49174,-1
49230,1
51165,9
51283,9
51497,-1
53329,1
53541,9
53632,1
53687,22
53726,0
53779,0
54373,22
54591,0
54597,13
54599,16
54601,13
54605,0
55023,1
55120,0
55175,0
55213,1
55235,2
13866,
23571,6
24892,0
32240,6
27911,0
46538,11
4490,1
6498,4
6690,0
6790,2
7166,0
7220,22
7248,9
7392,7
7416,7
7527,1
7562,1
7586,1
7601,-1
7607,6
7662,0
7708,1
7735,7
8229,6
8278,1
8285,-1
8459,1
8489,0
8533,26
8592,0
8594,7
8636,0
8650,0
8752,0
8807,2
8823,12
8916,1
9077,0
9121,9
9298,12
9316,1
9348,6
9413,26
9425,6
10457,19
10487,1
10638,22
10662,9
10688,1
10706,7
10870,
10991,12
11055,0
11060,6
11136,0
11588,24
11631,12
11656,0
11774,14
12081,12
12110,0
12145,15
12204,0
12341,
12374,0
12427,14
12504,7
12522,1
12569,7
12654,0
12664,0
12718,13
12753,7
12794,15
13134,1
13359,-1
13458,0
14267,22
14398,0
14465,13
15081,6
15085,0
15090,0
15284,1
15461,0
15687,0
15726,0
15730,8
15800,-1
15835,1
15847,12
15885,24
15966,12
16092,6
16181,15
16276,0
16290,0
16337,0
16413,19
16454,6
16507,17
16792,4
17063,-1
17137,12
17195,1
17274,13
17310,0
17364,9
17365,1
17410,13
18159,7
18406,7
18490,8
18659,19
19076,6
19203,7
19257,13
19266,-1
19269,7
19270,0
19341,1
19386,0
19527,23
19575,2
19652,13
19844,0
20184,7
20208,26
20211,21
20460,1
20502,7
20507,13
20768,0
20794,0
20816,7
20834,2
20957,7
20990,12
21163,0
21199,0
21208,6
21322,7
21355,0
21375,7
21430,6
21501,7
21523,13
21560,1
21595,0
21622,0
21934,
22362,10
22829,0
22888,-1
23022,
23261,13
23813,0
23823,14
23920,15
24086,0
24188,1
24224,0
24284,-1
24293,11
24504,-1
24510,9
24630,2
24662,
24682,
24729,6
24827,7
24840,12
24918,-1
25020,7
25026,
25144,-1
25299,0
25440,
25606,12
25672,0
25769,0
25931,0
25932,15
25978,0
26019,1
27113,7
27578,0
27766,7
28114,24
28236,
28559,0
28690,0
28784,22
28790,6
28796,0
28895,14
28949,0
29423,7
29445,23
29632,0
29646,1
29671,0
29753,0
29761,1
29762,9
29847,24
29896,
29923,24
29932,
29942,
29947,10
29953,0
29954,9
29956,9
29957,6
29958,4
29960,10
30061,9
30222,
30320,1
30528,0
30549,14
31656,1
31704,0
32227,
32529,10
32575,-1
32595,1
32787,
32796,0
32826,12
32894,0
32912,0
33143,0
33204,2
33272,14
33294,0
33340,12
33547,6
33557,0
33590,4
33617,14
33618,13
33762,12
33990,0
34008,22
34030,0
34087,24
34128,0
34185,0
34197,
34366,6
34405,4
34410,6
34448,13
34521,2
34572,0
34716,0
34723,
34728,0
34759,0
34792,1
34805,13
34807,
34898,13
34923,20
35273,20
36082,6
36115,0
36419,1
36541,1
36778,0
37353,8
37467,13
37663,1
37760,-1
37785,1
37804,7
38143,7
38309,0
38334,15
38417,7
38457,0
38487,24
38684,12
38760,12
38862,1
39219,1
39327,7
39594,0
39692,7
39700,6
39719,26
39799,0
39972,0
40035,0
40037,1
40076,0
40184,1
40267,0
40269,20
40521,12
42358,0
43416,7
43810,
44416,-1
44633,0
44897,0
45055,8
45308,-1
45952,16
46085,12
46206,22
46214,0
46243,2
46251,19
46355,6
46403,21
46458,0
46530,
46599,-1
46885,
47052,1
47058,0
47188,0
47201,6
47243,0
47313,0
47429,0
47538,7
47558,-1
47615,7
47678,26
47761,24
48193,13
48197,0
48452,1
48456,13
48651,15
48674,22
48716,19
48719,0
49214,0
49611,-1
49651,6
49929,7
49967,19
50044,-1
50180,7
50393,7
50442,13
50503,0
50630,
50768,1
50826,0
50881,0
50935,7
53330,6
53601,2
53715,24
53722,1
53980,9
54011,1
54128,15
54137,12
54216,
54545,6
54555,12
54571,4
54623,0
54703,20
54801,0
54854,0
54875,0
54999,13
55001,
55079,1
55447,1
55665,9
55769,7
55796,7
55829,17
24,6
44,0
61,6
2187,8
5931,
6254,7
6457,12
6652,10
7677,
7736,
7749,24
7776,0
7780,26
7868,0
7871,
7980,
7986,1
8131,-1
8202,0
8458,7
8616,13
8745,18
9108,5
9356,0
10051,13
10293,-1
10726,0
10768,7
10782,0
10895,7
11063,1
11159,26
11442,0
11712,0
11760,7
12053,0
12067,1
12147,7
12229,12
12241,19
12273,1
12523,1
12626,13
12679,2
12733,24
12754,23
12760,6
12762,1
12825,12
12847,21
12849,14
12881,20
12930,0
12936,0
12944,7
12946,0
12947,0
12949,
12962,21
12975,6
12987,0
13025,13
13061,15
13110,7
13576,1
13584,0
13599,0
14060,4
14261,6
14704,2
14781,6
15077,12
15119,6
15500,7
15686,6
15941,
15956,0
16114,
16286,-1
16350,6
16426,-1
16482,6
16525,22
17075,26
17163,7
17196,
17212,7
17498,0
18061,-1
18187,-1
18302,2
18447,7
18707,21
18738,22
19049,-1
19069,6
20704,13
20943,22
21039,0
21486,10
21848,0
22914,-1
23053,0
23120,7
23370,8
23414,2
23700,1
23746,7
23837,14
24168,15
24505,14
24680,6
24699,
24734,7
24792,0
25018,6
25102,
25169,
25300,1
25451,22
25466,7
25495,1
25498,12
25521,0
25597,4
25604,
25730,6
25755,4
25806,23
25812,0
25947,24
26108,0
26141,0
26142,1
26148,6
26222,0
26753,7
26773,-1
27128,7
27511,8
27625,1
27788,15
28053,13
28468,4
28511,7
28694,0
28858,12
28884,4
28908,7
28961,7
28989,7
29029,1
29090,7
29152,7
29452,12
29474,10
29627,
29948,5
30089,7
30127,9
30146,7
30283,6
30301,23
30463,19
30468,1
30627,9
31520,7
31608,13
31815,6
32209,0
32366,7
32465,-1
32505,0
32560,6
32608,6
32733,1
32820,0
32825,0
32836,6
32843,6
32988,-1
33024,1
33085,6
33127,1
33208,-1
33291,6
33399,0
33421,7
33451,13
33506,
33521,22
33543,0
33545,1
33546,
33563,7
33567,0
33568,0
33569,
33570,0
33574,1
33576,1
33583,0
33585,0
33619,16
33643,6
33666,14
33671,0
33776,13
33910,23
33912,0
34108,0
34187,9
34217,0
34492,
34504,
34594,
34664,
34700,6
34766,18
34767,0
34798,12
34816,0
34973,0
35508,
35913,0
36063,26
36146,23
36247,0
36714,1
36804,6
37492,0
37501,6
37649,22
37779,7
37910,23
38340,13
38633,1
38925,-1
39029,22
39420,23
39435,14
39931,4
40119,0
40190,0
40258,0
40694,6
42804,23
43036,
44210,
45318,1
45330,1
45942,1
45961,0
46078,23
46103,12
46150,9
46233,2
46280,0
46384,0
46434,1
46454,0
46507,10
46526,1
46554,-1
46687,9
46785,1
46820,12
46836,0
46856,26
46888,0
46946,21
47147,8
47383,15
47422,0
47445,0
47468,6
47499,6
47520,14
47531,0
47648,13
47731,6
47744,23
48242,0
48483,0
48559,23
48769,0
48796,
48829,0
48886,1
49049,15
49290,6
49618,15
50144,7
50156,8
50165,-1
50201,1
50242,0
50415,7
50987,1
51005,
51135,-1
51516,1
51745,21
52401,26
52820,
53346,7
53892,1
53976,2
54006,23
54097,9
54265,0
54300,1
54389,21
54414,12
54424,23
54435,6
54492,1
54586,-1
54662,0
54689,6
54695,7
54839,4
54888,6
54939,13
54981,14
55009,26
55026,14
55082,0
55423,6
55543,1
55742,0
55787,18
56004,24
56026,1
9063,26
9745,2
11081,
29785,7
9610,22
10767,0
11295,1
12991,2
13144,0
13545,22
14141,8
16906,2
16919,0
17731,1
19251,0
19305,24
20020,
21051,-1
29905,22
30816,1
35160,22
39688,6
40318,6
40322,21
40547,0
40695,26
46728,7
47571,
47971,6
51216,8
51237,
51467,-1
55051,22
55249,0
55308,6
55324,6
46950,24
7838,1
13209,0
23828,0
47658,0
9289,
9411,0
9720,2
9865,22
12531,15
12916,0
13688,1
13905,0
14883,19
16091,1
16513,0
17261,1
17463,8
17810,0
18338,0
18831,0
19570,7
20671,-1
21797,
21812,
22545,20
22748,20
30798,22
33863,13
33911,14
35310,13
35402,0
35441,16
46878,21
48645,
50013,13
51663,0
55114,-1
55136,9
21462,1
27640,12
28322,16
38273,6
42107,23
44472,26
49044,0
53545,-1
54069,0
3681,4
8017,22
8290,24
8600,6
10347,23
16509,0
16672,0
17074,12
19468,7
19832,24
21495,22
21736,7
23703,0
24107,0
31417,24
32486,7
32813,0
35735,6
39083,-1
47746,6
48656,1
4150,
4724,
5066,21
5780,
5900,0
6032,0
6408,0
6474,0
6508,24
6545,20
6603,12
6670,1
6732,12
7203,0
7523,24
7690,12
7696,1
8117,13
8574,0
8785,1
8876,6
8962,1
9487,24
9508,22
9576,22
9832,6
9843,
10354,26
10627,0
10826,22
10863,9
11653,26
11657,2
11672,22
11704,
11780,13
11879,2
11899,4
11908,-1
12130,12
12133,0
12161,14
12271,17
12345,1
12399,1
12509,0
12543,0
12689,2
13237,9
13301,7
13405,0
13520,0
13540,0
13661,1
13713,2
14727,8
14797,7
14835,23
15409,22
15468,22
15637,22
15742,7
15794,0
15828,1
15829,2
15895,-1
16025,26
16146,1
16186,0
16241,
16277,19
16297,22
16349,22
16410,0
16502,1
16647,24
16703,
16894,1
16921,6
17073,1
17080,17
17225,0
17317,11
17363,18
17481,9
17913,24
18307,15
18558,13
18642,1
18687,8
19234,2
19360,
19625,7
19784,13
20284,7
20682,8
20708,
20843,
21294,0
21335,7
21349,1
21515,6
21607,1
21945,0
22065,0
22547,
23073,22
23525,15
24350,22
24383,1
24518,7
24825,22
25235,0
25316,1
25767,0
26111,1
26178,
26232,
26282,24
26751,6
27404,19
28289,2
29156,0
29203,19
29264,19
29271,1
29308,19
29332,19
29430,26
29442,
29451,22
29454,24
29589,0
29628,
30112,
30160,
30316,1
30339,6
30363,19
30398,22
30479,0
30581,1
30598,
31509,13
32548,0
32782,
32810,6
32867,0
32891,-1
32986,6
33310,0
33374,22
33376,12
33379,1
33386,22
33704,1
33772,7
33948,13
34246,7
34313,1
34330,0
34607,1
34609,9
34808,9
35561,26
36510,19
36655,1
36992,13
37184,7
37337,26
37949,1
37966,1
37970,1
37972,24
38051,-1
38604,1
39382,26
39471,0
39952,0
40676,7
43553,8
43708,0
45638,
45659,7
46118,22
46296,0
46300,1
46326,7
46695,21
47013,1
47017,6
47024,0
47148,16
47318,7
47632,1
48433,
48435,7
48503,
48611,
48861,
48916,7
48943,24
49011,7
49101,
49110,0
49204,1
49216,13
49228,1
49240,7
49682,
49684,6
49690,1
49765,7
49848,16
49883,0
49895,1
49908,22
49972,15
49996,17
50011,22
50063,
50114,7
50128,0
50143,6
50145,7
50176,
50214,1
50231,1
50239,1
50253,6
50267,1
50276,
50293,14
50299,7
50305,0
50320,-1
50342,1
50375,24
50449,4
50608,22
50687,19
51037,
51055,
51065,13
52995,1
54077,24
54114,-1
54187,6
54193,7
54211,1
54325,0
54698,1
54942,13
54963,6
55000,21
55028,1
55029,6
55511,1
55918,0
8098,0
8685,26
16104,0
30241,0
30487,0
46523,0
55680,7
1906,24
3162,0
3285,
3605,6
4686,1
5158,0
5216,6
5955,0
6053,7
6283,23
7029,
7131,2
7190,13
7277,7
7341,0
7347,1
7451,1
7530,0
7691,1
7809,0
8050,1
8109,6
8217,
8300,0
8517,20
8606,20
8612,
8804,
8988,6
9106,0
9126,13
9196,1
9317,1
9660,
10182,0
10273,13
10327,2
10339,4
10429,0
10444,1
10663,7
10723,5
10725,6
10739,1
10745,4
10766,7
10775,1
10778,13
10780,13
10799,13
10805,7
10809,0
10813,1
10820,15
10878,0
10901,
11932,18
12008,24
12075,0
12208,0
12429,0
12491,6
13155,20
13179,15
13245,1
13275,6
13349,6
13350,
13479,0
14363,6
14384,1
14560,0
14599,7
14742,0
14998,1
15212,24
15257,1
15438,12
15519,1
15535,1
15565,1
15860,
15964,12
16174,
16738,
17010,1
18050,6
18451,
18540,0
18781,1
18862,7
18906,0
18909,0
18941,1
18957,0
19420,20
19568,18
19579,1
19589,0
19633,6
20257,1
20278,2
20281,0
20435,0
20532,
20681,12
20687,6
21431,1
21592,0
21699,24
21748,1
21762,0
21854,23
21973,1
21989,21
22261,1
22397,1
22952,
22957,0
22995,13
23069,1
23142,0
23181,7
23435,1
23767,13
23793,22
24087,0
24164,24
24359,1
24508,
24646,0
24656,1
24935,24
24956,2
25027,0
25043,13
25163,
25178,6
25286,24
25404,
25476,0
25481,15
25483,
25504,13
25585,5
25851,6
25877,
26054,7
26212,1
26374,0
26381,0
26665,0
26869,0
26870,13
27342,1
27488,0
27497,7
27876,7
27935,
28348,0
28349,13
28440,0
28466,0
29031,13
29033,1
29687,1
29744,0
29780,
29808,0
29904,1
30003,0
30090,13
30094,26
30194,1
30247,0
30274,0
30303,0
30333,0
30364,2
30365,24
30382,0
30458,1
30473,0
30529,1
30967,0
31062,7
31213,13
31423,6
31963,7
32045,23
32068,0
32140,7
32188,7
32213,1
32279,0
32296,
32369,13
32379,0
32449,
32550,1
32645,22
32940,6
33069,1
33073,26
33076,6
33113,7
33255,0
33257,0
33443,1
33446,
33456,6
33461,0
33470,1
33472,24
33481,1
33486,13
33507,13
33517,
33538,0
33542,0
33554,24
33622,0
33628,24
33668,24
33669,6
33706,20
33715,0
33726,2
33821,23
33857,1
33944,
33957,1
33986,24
33994,7
34032,24
34034,1
34104,24
34190,6
34211,0
34214,8
34278,7
34283,24
34287,
34306,13
34327,1
34403,20
34413,7
34433,13
34441,7
34452,7
34453,1
34464,0
34469,0
34474,7
34475,1
34480,
34497,1
34507,13
34519,1
34525,0
34534,1
34546,0
34548,1
34558,7
34559,0
34583,13
34590,7
34623,21
34629,2
34632,0
34638,7
34640,13
34646,13
34649,1
34673,7
34675,7
34677,7
34688,7
34696,22
34709,24
34726,24
34731,1
34734,0
34760,0
34765,0
34771,24
34775,13
34779,0
34785,
34795,24
34799,1
34815,2
34825,0
34833,
34853,12
34855,13
34860,7
34877,24
34880,1
34881,24
34887,1
34899,0
34900,1
34905,0
34910,8
34915,21
34919,7
34924,0
34925,0
34930,6
34952,15
34954,13
34964,1
34965,2
34966,9
34977,7
34989,0
35007,22
35019,2
35022,1
35023,0
35033,7
35041,1
35048,
35061,6
35067,1
35070,24
35076,0
35077,1
35081,13
35086,7
35090,0
35091,0
35094,1
35102,1
35133,1
35137,-1
35145,21
35650,0
36688,0
36858,4
36999,0
37288,
37324,0
37475,7
37510,1
37912,22
37995,0
38012,2
38038,1
38083,9
38151,0
38361,
38549,4
38683,24
38805,1
38815,0
38823,0
38916,
39049,1
39321,6
39419,
39429,16
39599,13
39911,13
40089,2
40253,1
41563,7
41911,2
43618,0
45578,7
45842,0
45944,6
45967,24
45968,2
45978,2
46086,0
46211,1
46342,0
46364,1
46369,0
46603,18
46800,-1
46993,13
47066,-1
47078,0
47102,2
47155,23
47165,7
47263,21
47721,1
47752,9
47997,0
48041,1
48072,0
48256,0
48343,13
48405,13
48648,26
48665,14
48711,0
48844,14
49208,2
49231,22
49270,1
49607,22
49897,1
49960,6
50357,0
50958,15
51748,7
53501,0
54160,2
54162,6
54394,7
54449,0
54750,7
55151,7
55881,0
6489,0
8190,7
9538,1
9581,24
12043,0
12657,-1
13007,8
13360,2
16199,0
16220,0
17200,1
17252,0
17423,22
17502,0
21052,
21778,0
29425,22
30289,0
30294,24
30562,
32523,9
38167,1
38978,17
40312,6
40747,7
45607,2
45957,12
47185,0
49034,2
49123,0
53361,17
10,26
46,8
147,0
515,7
1315,7
1406,22
1488,23
1566,0
1924,13
2050,4
2349,8
2350,12
2902,0
2975,24
3142,0
3369,21
4142,0
4782,
4881,26
5025,2
5085,7
5140,11
5234,0
5263,9
5360,21
5387,-1
5397,7
5418,0
5792,2
5872,0
5904,-1
5913,0
5950,23
5978,0
6012,0
6022,
6038,13
6099,9
6127,0
6191,6
6355,0
6373,9
6386,-1
6446,1
6471,7
6483,
6497,1
6502,0
6516,7
6528,13
6541,15
6547,9
6563,26
6643,7
6660,1
6669,0
6688,
6710,13
6714,7
6795,0
6808,6
6809,7
6821,0
6859,-1
6878,0
6915,10
6924,7
6926,26
6962,7
7023,0
7039,7
7050,13
7052,
7075,1
7080,
7083,7
7094,0
7123,1
7161,1
7207,0
7213,16
7216,13
7225,6
7232,1
7243,16
7304,
7316,
7332,
7349,23
7357,0
7364,0
7365,
7374,0
7376,21
7378,0
7385,17
7396,2
7415,6
7417,24
7469,1
7471,13
7480,0
7509,0
7510,0
7519,4
7525,6
7568,6
7582,0
7594,0
7608,12
7609,
7639,19
7647,0
7650,0
7651,1
7653,7
7661,1
7679,0
7688,6
7706,13
7717,1
7721,9
7737,0
7745,6
7755,6
7757,
7775,
7782,0
7784,1
7785,13
7788,6
7799,16
7820,0
7841,0
7842,0
7846,0
7869,0
7905,-1
7916,20
7918,6
7923,7
7932,17
7934,
7939,12
7947,12
7977,9
7981,9
7984,1
8013,0
8026,1
8040,13
8053,0
8064,
8065,15
8078,1
8097,0
8112,9
8114,0
8124,1
8134,24
8138,6
8139,-1
8141,2
8157,8
8160,6
8178,12
8187,6
8189,6
8197,1
8218,-1
8225,1
8231,0
8258,15
8267,13
8276,
8279,1
8284,0
8294,13
8311,-1
8338,9
8341,7
8355,
8359,
8391,-1
8392,0
8399,22
8404,1
8407,0
8427,15
8437,13
8439,22
8449,1
8452,12
8465,23
8502,1
8504,20
8507,7
8556,26
8569,17
8577,11
8607,-1
8610,6
8611,0
8617,16
8626,6
8632,9
8653,7
8654,1
8659,15
8677,0
8683,7
8730,-1
8735,-1
8736,9
8740,
8744,0
8753,0
8762,8
8816,0
8826,20
8832,12
8851,16
8854,1
8891,-1
8892,15
8914,0
8920,6
8921,0
8941,13
8976,6
8996,-1
9013,6
9019,0
9025,15
9029,0
9040,0
9057,22
